,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
539,Daihatsu,Daihatsu Copen,1965000,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2009,mini
540,Daihatsu,Daihatsu Charade,1051000,5,5,3680,1615,1385,2340,800,37,993,760,730,37,1989,mini
541,Daihatsu,Daihatsu Copen,1595000,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2008,mini
542,Daihatsu,Daihatsu Charade Social,1113000,4,5,4085,1620,1385,2395,890,74,1498,760,826,45,1996,Subcompact
543,Daihatsu,Daihatsu Charade Social,1123000,4,5,4085,1620,1385,2395,880,71,1498,760,826,45,1995,Subcompact
544,Daihatsu,Daihatsu Charade,1093000,3,5,3750,1620,1385,2395,850,67,1295,760,714,45,1993,Subcompact
545,Daihatsu,Daihatsu Copen,1873800,2,2,3395,1475,1280,2230,850,47,658,630,704,30,2016,mini
546,Daihatsu,Daihatsu Charade Social,1288000,4,5,4085,1620,1400,2395,960,74,1498,760,826,40,1999,Subcompact
547,Daihatsu,Daihatsu Charade DE Tomaso,1298000,3,5,3760,1650,1420,2395,900,92,1589,760,876,45,1994,Subcompact
548,Daihatsu,Daihatsu Copen,1695000,2,2,3395,1475,1245,2230,840,47,659,610,564,40,2010,mini
549,Daihatsu,Daihatsu Charade Social,1383000,4,5,4085,1620,1400,2395,990,74,1498,760,826,40,1998,Subcompact
550,Daihatsu,Daihatsu Charade,965000,5,5,3680,1615,1385,2340,780,40,993,760,730,37,1989,mini
551,Daihatsu,Daihatsu Charade,907000,5,5,3680,1600,1385,2340,780,37,993,760,730,37,1989,mini
552,Daihatsu,Daihatsu Charade,1070000,3,5,3680,1615,1385,2340,800,38,993,760,730,37,1989,mini
553,Daihatsu,Daihatsu Charade Social,1228000,4,5,4085,1620,1410,2395,960,74,1498,760,826,40,1997,Subcompact
554,Daihatsu,Daihatsu Charade Social,1113000,4,5,4085,1620,1385,2395,890,74,1498,760,826,45,1999,Subcompact
555,Daihatsu,Daihatsu Charade,1195000,3,5,3610,1615,1385,2340,810,77,993,760,730,40,1991,mini
556,Daihatsu,Daihatsu Charade,1071000,5,5,3680,1615,1400,2340,870,69,1295,760,714,37,1991,Subcompact
